gene,median_boundary_frac,mean_boundary_frac,p25,p75,mean_cell_total,n_cells_used
Cdh9,0.0,0.09691624823188236,0.0,0.0,3.068632522848767,11598
Chat,0.0,0.16813057002161896,0.0,0.2857142857142857,4.7295454545454545,880
Chodl,0.0,0.11347622904783435,0.0,0.125,4.2464607464607464,1554
Cldn5,0.0,0.09894948530131621,0.0,0.08333333333333333,7.702628481757552,15294
Cspg4,0.0,0.09537126501171878,0.0,0.0,5.281014565544952,7964
Clmn,0.0,0.11803210742741303,0.0,0.16666666666666666,6.8190822053483,66638
Cntn6,0.0,0.08511780416556786,0.0,0.0,3.7009290266825103,37028
Cntnap4,0.0,0.09643766062654169,0.0,0.058823529411764705,4.170812371902366,21468
Cntnap5b,0.0,0.07990832002749049,0.0,0.0,3.045806745670009,17552
Cobll1,0.0,0.07833403367706142,0.0,0.0,3.220363780150257,25290
Col19a1,0.0,0.05435370742599048,0.0,0.0,3.540551078762672,7694
Col1a1,0.0,0.19504395160807003,0.0,0.3333333333333333,5.227569923719579,5506
Col6a1,0.0,0.08687993078334975,0.0,0.0,5.427892440914122,15359
Cort,0.0,0.0863035316799894,0.0,0.0,5.627277459656429,1921
Cplx3,0.0,0.1279534299086883,0.0,0.2,5.9323589394969405,5884
Cpne4,0.0,0.1454325382752484,0.0,0.25,6.048689790148962,45985
Cpne6,0.0,0.12443022105057698,0.0,0.2,4.946533837876799,38847
Cpne8,0.0,0.07515542390958192,0.0,0.0,3.297949391154769,22091
Ccn2,0.0,0.1355604259372648,0.0,0.2,6.092257188136744,8834
Cbln4,0.0,0.09061227070444275,0.0,0.0,3.620747663551402,10700
Cbln1,0.0,0.10796079568004661,0.0,0.13793103448275862,5.0859833007639015,5629
Carmn,0.0,0.06313284347002661,0.0,0.0,3.3097795364612774,7076
Acvrl1,0.0,0.08004039660776789,0.0,0.0,3.830755939524838,11575
Adamts2,0.0,0.07555680592208044,0.0,0.0,3.1028328611898015,7060
Adamtsl1,0.0,0.05356974791773316,0.0,0.0,2.6454501452081316,8264
Adgrl4,0.0,0.08922035868113255,0.0,0.0,4.964749653171901,15858
Angpt1,0.0,0.07493158671921175,0.0,0.0,2.561874854617353,8598
Ano1,0.0,0.07018664258857667,0.0,0.0,2.74025974025974,2387
Aqp4,0.0,0.14776625761168435,0.0,0.25,5.595785881360482,52158
Arhgap12,0.0,0.08453828994670225,0.0,0.0,2.684428577724889,22689
Arhgap25,0.0,0.07478276251167364,0.0,0.0,3.6432710178200503,9147
Arhgap6,0.0,0.07364760075520857,0.0,0.0,2.6997558991049635,9832
Arhgef28,0.0,0.09742379897434474,0.0,0.0,3.4866179364633116,35570
BLANK_0016,0.0,0.125,0.0,0.125,2.0,16
BLANK_0028,0.0,0.03959484346224677,0.0,0.0,2.0718232044198897,181
BLANK_0073,0.0,0.03809523809523809,0.0,0.0,2.057142857142857,35
BLANK_0093,0.0,0.1034482758275862,0.0,0.0,2.0,29
BLANK_0149,0.0,0.059999999979999996,0.0,0.0,2.12,25
BLANK_0322,0.0,0.0,0.0,0.0,2.04,25
Bcl11b,0.0,0.15161222494331736,0.0,0.25,4.727776392697859,36099
Bdnf,0.0,0.12404432092725608,0.0,0.16666666666666666,4.61718272560603,19636
Bhlhe22,0.0,0.15794659278784093,0.0,0.25,5.911340146659738,34638
Bhlhe40,0.0,0.13267207322910946,0.0,0.2,4.937988391003689,75631
Btbd11,0.0,0.09348734591111228,0.0,0.0,3.535716358150061,17233
Cabp7,0.0,0.1531012404296804,0.0,0.25,7.157495652173913,28750
Cacna2d2,0.0,0.09406021670057714,0.0,0.0,3.5834678298800435,22925
Calb1,0.0,0.13942823662608364,0.0,0.2222222222222222,5.033229616651059,33103
Calb2,0.0,0.15419827124810123,0.0,0.25,8.45127382861215,16839
Car4,0.0,0.10345651242624912,0.0,0.125,6.139318067770647,37863
Crh,0.0,0.09486359226842246,0.0,0.06666666666666667,5.706289978678038,1876
Cux2,0.0,0.11621257500021312,0.0,0.16666666666666666,4.729041606292693,43479
Myl4,0.0,0.1141112940090137,0.0,0.14285714285714285,5.435183177975287,9226
Ikzf1,0.0,0.047924476473534414,0.0,0.0,3.6807417336907955,4476
Gsg1l,0.0,0.09371462517106871,0.0,0.0,3.3406910390669093,15947
Gucy1a1,0.0,0.11531573384626652,0.0,0.16666666666666666,4.503386004514673,37212
Hapln1,0.0,0.08285878931203908,0.0,0.0,3.628248762376238,12928
Hat1,0.0,0.0784250533404648,0.0,0.0,2.5937286157066377,24843
Hpcal1,0.0,0.11398690247386135,0.0,0.16666666666666666,4.188760768721007,37725
Hs3st2,0.0,0.1079123546532605,0.0,0.14285714285714285,3.5219918452329315,11527
Htr1f,0.0,0.07134427415744755,0.0,0.0,3.5513402665885456,13654
Id2,0.0,0.1451263453500764,0.0,0.25,6.658180701148101,78129
Igf1,0.0,0.07049891573815252,0.0,0.0,3.418742160903064,5581
Igfbp4,0.0,0.1364049114741837,0.0,0.21428571428571427,5.1443689520280005,24285
Igfbp5,0.0,0.1410014712537541,0.0,0.25,4.086154092519567,49957
Igfbp6,0.0,0.10646406878455403,0.0,0.14285714285714285,3.969135064002871,16718
Igsf21,0.0,0.09689484655793766,0.0,0.0,3.337462944117517,22601
Inpp4b,0.0,0.08477060640717478,0.0,0.0,3.633799793956044,23296
Cwh43,0.0,0.05202921099156471,0.0,0.0,2.786872123273964,4997
Kcnh5,0.0,0.11055577132514834,0.0,0.14285714285714285,4.88134298945709,40596
Kcnmb2,0.0,0.07629429000453909,0.0,0.0,3.1713258785942493,10016
Kctd12,0.0,0.12022812846615769,0.0,0.2,3.88946595432196,46981
Kctd8,0.0,0.0768251146675161,0.0,0.0,2.6431867864950207,4117
Kdr,0.0,0.08733616281304106,0.0,0.0,4.061065671404749,12593
Lamp5,0.0,0.12130658964023451,0.0,0.18181818181818182,6.237776882803061,24830
Laptm5,0.0,0.1154206784722122,0.0,0.1111111111111111,5.899173842215499,17188
Ly6a,0.0,0.11808478027683217,0.0,0.13043478260869565,6.723728894628593,20907
Lypd6,0.0,0.09474522655870643,0.0,0.0,3.256575296859394,18022
