cell_id,area,perimeter,centroid_y,centroid_x,eccentricity,orientation_rad,major_axis_length,minor_axis_length,dataset,shear_stress,supplementation,replicate,section
132,2596.0,242.8528137423857,750.8316640986133,37.81972265023113,0.9167856809994464,-1.2887180674792442,93.35456987105822,37.2839049550551,S-BIAD1540,static,BSA 0.1,rep 1,nan
133,2507.0,292.0071426749364,771.0355005983247,52.762664539289986,0.9812944217075787,-1.119532076603907,138.1588366789323,26.59737311471767,S-BIAD1540,static,BSA 0.1,rep 1,nan
134,5724.0,380.35028842544403,794.2409154437456,997.4937106918239,0.8492150483426557,0.24816284494911814,130.9213561610404,69.13265011629025,S-BIAD1540,static,BSA 0.1,rep 1,nan
135,10211.0,488.22139213105936,823.5943590245813,139.16971893056507,0.939219501717799,-0.8325059368331126,197.13568341830398,67.68007882619115,S-BIAD1540,static,BSA 0.1,rep 1,nan
136,6530.0,381.8132752230962,816.8543644716692,528.1860643185298,0.9532172181206422,-0.7653027606217166,167.33944822681667,50.58440269493601,S-BIAD1540,static,BSA 0.1,rep 1,nan
137,17319.0,683.9665581351203,884.2713782550956,854.9597551821698,0.9416900176823882,-0.1600615558437868,266.12629284518704,89.54661800458472,S-BIAD1540,static,BSA 0.1,rep 1,nan
138,3395.0,283.6579002700189,806.2709867452136,43.98144329896907,0.9350388193272436,-1.0646032975718203,113.55259737083894,40.25954556153015,S-BIAD1540,static,BSA 0.1,rep 1,nan
139,5765.0,396.5168106668145,832.9814397224632,387.345880312229,0.9572612275907926,-0.5372842148414989,165.32575615211445,47.81629653000978,S-BIAD1540,static,BSA 0.1,rep 1,nan
140,8754.0,446.07315985291854,875.7974640164496,543.1710075394105,0.9210693154564912,-0.5987950777722467,175.03874987143337,68.15985458389208,S-BIAD1540,static,BSA 0.1,rep 1,nan
141,14582.0,599.5056633785213,884.3280071320806,281.13036620491016,0.9215492150246691,-0.9605075030965855,226.97385420263353,88.12522426511931,S-BIAD1540,static,BSA 0.1,rep 1,nan
142,9854.0,537.7899346259832,892.9227724781814,388.78932413233207,0.967824710728554,-0.8101867119621897,237.6805373109893,59.806454311856974,S-BIAD1540,static,BSA 0.1,rep 1,nan
143,4309.0,311.8355697996826,878.3966117428638,995.3413785100952,0.9459120826379341,0.34880149698336416,130.61348672630183,42.37402906606622,S-BIAD1540,static,BSA 0.1,rep 1,nan
144,2742.0,248.34419177103413,848.6615609044493,37.84573304157549,0.9267946463505616,-1.1310515071603484,99.49974912075268,37.36896958090276,S-BIAD1540,static,BSA 0.1,rep 1,nan
145,5420.0,419.1797615707167,881.5311808118081,199.74630996309963,0.9697212486439141,-1.0038317373383205,182.99554920101764,44.69015827716478,S-BIAD1540,static,BSA 0.1,rep 1,nan
146,15320.0,708.245778748699,955.6649477806789,396.4397519582245,0.9515010494465663,-0.9980913674036983,277.2667302471291,85.29986151408632,S-BIAD1540,static,BSA 0.1,rep 1,nan
147,12218.0,533.8244225113893,956.0977246685219,771.4797020789,0.8769864262845602,-0.4424084790242725,190.2192063757424,91.40321023376264,S-BIAD1540,static,BSA 0.1,rep 1,nan
