gene,median_boundary_frac,mean_boundary_frac,p25,p75,mean_cell_total,n_cells_used
BLANK_0266,0.0,0.14285714283928572,0.0,0.125,2.0,28
BLANK_0168,,,,,,0
BLANK_0193,,,,,,0
BLANK_0289,,,,,,1
BLANK_0013,,,,,,0
BLANK_0258,,,,,,0
BLANK_0014,,,,,,0
BLANK_0127,,,,,,0
BLANK_0214,,,,,,0
BLANK_0016,,,,,,0
BLANK_0116,,,,,,0
BLANK_0015,,,,,,1
BLANK_0123,,,,,,1
BLANK_0280,,,,,,0
BLANK_0064,,,,,,0
BLANK_0077,,,,,,0
BLANK_0005,,,,,,0
BLANK_0292,,,,,,0
BLANK_0175,,,,,,0
BLANK_0298,,,,,,0
BLANK_0242,,,,,,0
BLANK_0121,,,,,,0
BLANK_0178,,,,,,0
BLANK_0282,,,,,,0
BLANK_0133,,,,,,0
BLANK_0139,,,,,,0
BLANK_0020,,,,,,0
BLANK_0249,,,,,,0
BLANK_0159,,,,,,0
BLANK_0247,,,,,,0
BLANK_0080,,,,,,0
BLANK_0062,,,,,,0
BLANK_0129,,,,,,0
BLANK_0267,,,,,,0
BLANK_0225,,,,,,0
BLANK_0235,,,,,,0
BLANK_0262,,,,,,0
BLANK_0208,,,,,,0
BLANK_0209,,,,,,0
BLANK_0035,,,,,,0
BLANK_0033,,,,,,0
BLANK_0207,,,,,,0
BLANK_0012,,,,,,0
BLANK_0082,,,,,,0
BLANK_0179,,,,,,0
BLANK_0283,,,,,,0
BLANK_0128,,,,,,0
BLANK_0039,,,,,,0
BLANK_0232,,,,,,0
BLANK_0007,,,,,,0
BLANK_0160,,,,,,0
BLANK_0288,,,,,,0
BLANK_0212,,,,,,0
BLANK_0281,,,,,,0
BLANK_0106,,,,,,0
